loan_id,property_id,balance,avm_price,true_market,ltv,risk_class,is_high_risk_zone,spatial_feat_missing_pct,status
30000,20000,1273.1,3762.5,3602.38,0.3384,正常,0,0.18,正常
30001,20001,1728.25,6524.97,7009.53,0.2649,正常,0,0.16,正常
30002,20002,873.2,3717.41,3552.65,0.2349,损失,0,0.17,正常
30003,20003,3973.54,7231.67,7666.4,0.5495,正常,0,0.05,正常
30004,20004,4997.01,6588.36,7673.99,0.7585,正常,0,0.05,正常
30005,20005,1110.54,4642.5,4377.61,0.2392,正常,0,0.25,低置信
30006,20006,257.56,2233.75,1453.96,0.1153,关注,0,0.1,正常
30007,20007,6692.2,9226.23,9629.2,0.7253,正常,0,0.21,低置信
30008,20008,2614.61,5263.79,5084.68,0.4967,正常,0,0.02,正常
30009,20009,2376.83,7538.29,7689.65,0.3153,正常,0,0.08,正常
30010,20010,322.16,1164.6,602.92,0.2766,正常,0,0.22,低置信
30011,20011,1389.08,3874.16,3727.73,0.3585,正常,1,0.22,低置信
30012,20012,5946.94,9033.48,9209.88,0.6583,正常,0,0.05,正常
30013,20013,5651.51,6882.21,6867.16,0.8212,正常,1,0.13,正常
30014,20014,5451.34,6739.79,6732.02,0.8088,关注,0,0.09,正常
30015,20015,2476.74,7381.16,7307.43,0.3355,关注,0,0.04,正常
30016,20016,957.59,5975.08,5125.15,0.1603,关注,1,0.05,正常
30017,20017,1225.68,3201.04,3206.51,0.3829,正常,0,0.13,正常
30018,20018,1684.25,3791.68,3674.0,0.4442,关注,1,0.01,正常
30019,20019,2599.79,10283.07,11089.85,0.2528,正常,0,0.07,正常
30020,20020,3226.53,3996.37,3891.79,0.8074,正常,0,0.15,正常
30021,20021,1455.21,6637.97,7411.52,0.2192,正常,0,0.11,正常
30022,20022,586.08,2201.92,2007.05,0.2662,正常,1,0.09,正常
30023,20023,961.9,2730.95,2516.54,0.3522,正常,0,0.18,正常
30024,20024,2758.91,5671.71,5761.64,0.4864,正常,0,0.14,正常
30025,20025,1664.2,3390.24,3215.2,0.4909,正常,0,0.29,低置信
30026,20026,4733.82,7988.32,8305.19,0.5926,正常,0,0.08,正常
30027,20027,1917.76,7094.35,7237.07,0.2703,可疑,0,0.07,正常
30028,20028,1375.55,6192.04,6623.69,0.2221,正常,0,0.3,低置信
30029,20029,858.46,3024.01,2863.88,0.2839,正常,0,0.04,正常
30030,20030,4162.21,8827.86,9310.91,0.4715,正常,0,0.23,低置信
30031,20031,3370.62,5717.43,5477.95,0.5895,正常,0,0.12,正常
30032,20032,5658.36,6644.38,7869.18,0.8516,正常,0,0.15,预警
30033,20033,2514.49,6484.0,6891.05,0.3878,正常,0,0.1,正常
30034,20034,2495.44,5920.74,5954.23,0.4215,正常,0,0.19,正常
30035,20035,1548.68,6125.36,6178.5,0.2528,正常,1,0.28,低置信
30036,20036,1708.84,6700.31,6755.4,0.255,关注,0,0.18,正常
30037,20037,265.31,1490.27,888.75,0.178,正常,0,0.14,正常
30038,20038,179.73,794.36,600.38,0.2263,关注,0,0.2,正常
30039,20039,2601.88,7380.76,7510.77,0.3525,正常,0,0.23,低置信
30040,20040,3344.14,6239.22,6446.47,0.536,正常,0,0.09,正常
30041,20041,1880.53,6641.3,6524.21,0.2832,关注,0,0.26,低置信
30042,20042,614.89,2998.22,2525.77,0.2051,关注,0,0.24,低置信
30043,20043,3387.15,7714.52,7785.6,0.4391,正常,0,0.26,低置信
30044,20044,1581.66,4196.93,4051.85,0.3769,正常,1,0.25,低置信
30045,20045,1780.32,5203.99,4975.76,0.3421,次级,0,0.09,正常
30046,20046,2241.96,5330.21,5802.88,0.4206,关注,0,0.2,正常
30047,20047,4999.44,8345.93,8393.32,0.599,次级,0,0.25,低置信
