loan_id,customer_id,property_id,loan_amount,balance,interest_rate,risk_class
30000,10000,20000,1869.57,1273.1,6.22,正常
30001,10001,20001,4996.81,1728.25,7.27,正常
30002,10002,20002,1881.76,873.2,5.62,损失
30003,10003,20003,6272.88,3973.54,4.18,正常
30004,10004,20004,5505.55,4997.01,6.84,正常
30005,10005,20005,3220.63,1110.54,6.16,正常
30006,10006,20006,800.6,257.56,5.63,关注
30007,10007,20007,7312.53,6692.2,7.64,正常
30008,10008,20008,3038.0,2614.61,7.71,正常
30009,10009,20009,6454.95,2376.83,4.48,正常
30010,10010,20010,532.22,322.16,4.85,正常
30011,10011,20011,2436.52,1389.08,6.13,正常
30012,10012,20012,6374.4,5946.94,7.68,正常
30013,10013,20013,5687.38,5651.51,4.23,正常
30014,10014,20014,5589.72,5451.34,6.06,关注
30015,10015,20015,5531.06,2476.74,6.08,关注
30016,10016,20016,2780.28,957.59,7.95,关注
30017,10017,20017,1424.52,1225.68,4.18,正常
30018,10018,20018,2009.48,1684.25,3.7,关注
30019,10019,20019,7843.48,2599.79,4.99,正常
30020,10020,20020,3270.87,3226.53,7.99,正常
30021,10021,20021,4112.17,1455.21,3.64,正常
30022,10022,20022,1000.9,586.08,4.2,正常
30023,10023,20023,1060.01,961.9,7.81,正常
30024,10024,20024,4887.77,2758.91,5.84,正常
30025,10025,20025,2321.2,1664.2,6.29,正常
30026,10026,20026,7228.1,4733.82,6.74,正常
30027,10027,20027,3754.72,1917.76,5.85,可疑
30028,10028,20028,4465.79,1375.55,6.11,正常
30029,10029,20029,1174.27,858.46,3.77,正常
30030,10030,20030,6644.92,4162.21,5.09,正常
30031,10031,20031,4127.5,3370.62,3.77,正常
30032,10032,20032,5807.53,5658.36,5.55,正常
30033,10033,20033,4798.49,2514.49,4.91,正常
30034,10034,20034,3480.71,2495.44,5.2,正常
30035,10035,20035,4857.15,1548.68,6.81,正常
30036,10036,20036,3749.3,1708.84,4.57,关注
30037,10037,20037,438.77,265.31,3.96,正常
30038,10038,20038,336.8,179.73,5.47,关注
30039,10039,20039,6217.17,2601.88,6.43,正常
30040,10040,20040,5430.82,3344.14,4.04,正常
30041,10041,20041,4337.38,1880.53,7.27,关注
30042,10042,20042,1242.16,614.89,6.39,关注
30043,10043,20043,6252.84,3387.15,4.81,正常
30044,10044,20044,3229.04,1581.66,5.38,正常
30045,10045,20045,3034.64,1780.32,4.2,次级
30046,10046,20046,2334.68,2241.96,7.94,关注
30047,10047,20047,5180.16,4999.44,4.5,次级
30048,10048,20048,1138.56,1008.41,5.84,正常
30049,10049,20049,1798.85,969.13,3.81,正常
30050,10050,20050,3366.25,1686.18,3.7,关注
30051,10051,20051,7167.77,5630.96,7.53,次级
30052,10052,20052,1413.19,994.7,6.85,正常
30053,10053,20053,2264.9,1154.92,5.86,正常
30054,10054,20054,6631.36,6348.4,5.04,正常
30055,10055,20055,4620.63,4173.19,7.02,正常
30056,10056,20056,2385.71,1045.26,7.18,正常
30057,10057,20057,442.9,378.31,7.13,次级
30058,10058,20058,2661.52,812.44,7.38,正常
30059,10059,20059,655.38,321.12,5.87,正常
30060,10060,20060,931.21,587.62,3.51,正常
30061,10061,20061,1633.89,635.26,3.81,正常
30062,10062,20062,6562.57,5893.94,5.76,正常
30063,10063,20063,2628.93,1367.58,6.41,正常
30064,10064,20064,2155.22,1190.94,4.98,正常
30065,10065,20065,1822.87,1255.72,5.21,正常
30066,10066,20066,2596.14,1103.33,6.22,正常
30067,10067,20067,5540.08,3136.71,6.3,关注
30068,10068,20068,3214.33,1802.26,6.66,正常
30069,10069,20069,2356.48,1851.93,4.6,正常
30070,10070,20070,4235.58,3331.79,5.41,正常
30071,10071,20071,3207.55,2937.37,5.18,次级
30072,10072,20072,4390.3,3747.74,5.59,正常
30073,10073,20073,2509.62,2181.5,7.49,正常
30074,10074,20074,4684.65,3594.5,6.04,正常
30075,10075,20075,2925.54,2081.32,4.15,正常
30076,10076,20076,2452.29,811.75,3.95,正常
30077,10077,20077,2351.29,1000.26,7.29,正常
30078,10078,20078,3722.41,3315.77,7.26,正常
30079,10079,20079,7454.64,5258.16,3.66,正常
30080,10080,20080,7241.98,4764.7,3.98,正常
30081,10081,20081,1621.63,1547.35,4.96,正常
30082,10082,20082,821.91,722.99,4.31,正常
30083,10083,20083,2357.19,1723.55,5.27,正常
30084,10084,20084,3148.22,1818.56,5.38,正常
30085,10085,20085,1251.04,813.45,5.36,可疑
30086,10086,20086,2467.35,1017.62,6.9,正常
30087,10087,20087,2724.64,1803.61,6.39,正常
30088,10088,20088,3200.88,1294.85,6.87,正常
30089,10089,20089,4126.47,2732.04,6.74,正常
30090,10090,20090,1420.69,692.09,6.14,正常
30091,10091,20091,2774.39,1283.47,7.79,正常
30092,10092,20092,929.64,737.89,7.34,正常
30093,10093,20093,2011.51,979.65,3.6,正常
30094,10094,20094,1366.49,776.06,5.12,正常
30095,10095,20095,3270.44,2753.52,7.96,正常
30096,10096,20096,2052.03,1476.03,7.26,正常
30097,10097,20097,2869.12,1979.65,6.74,正常
30098,10098,20098,10707.36,6212.23,7.82,正常
30099,10099,20099,5194.4,2393.17,6.73,正常
30100,10100,20100,4062.82,3945.41,4.59,关注
30101,10101,20101,2803.23,1348.45,6.67,正常
30102,10102,20102,2193.22,2039.33,7.39,正常
30103,10103,20103,5463.31,3257.81,3.89,正常
