id,lat,lng,area,age,true_price
0,31.3197,121.0125,67.5,6.7,5779.84
1,31.4461,121.0435,82.19,0.89,4332.25
2,31.1093,121.2527,42.65,5.97,2069.69
3,31.1102,121.2946,120.94,0.19,4529.48
4,31.4029,121.3491,74.03,4.66,4256.0
5,31.0464,121.0484,124.75,18.11,11584.39
6,31.4036,121.3649,93.62,29.19,5262.91
7,31.4147,121.3093,126.17,17.32,7519.19
8,31.3523,121.0229,62.79,8.68,4837.8
9,31.0505,121.139,103.57,10.94,7997.74
10,31.1851,121.1048,66.7,28.1,5898.25
11,31.0856,121.3646,56.34,11.38,1312.44
12,31.4948,121.32,95.69,20.54,7005.85
13,31.1145,121.0161,71.55,8.03,7493.88
14,31.1055,121.4715,127.64,9.44,1527.85
15,31.4573,121.2294,66.49,7.4,4075.69
16,31.2807,121.1314,98.46,26.93,7514.99
17,31.4988,121.2548,49.09,1.41,3269.2
18,31.0548,121.3137,119.21,12.66,4320.39
19,31.4981,121.2646,137.11,25.82,9148.24
20,31.0057,121.3604,108.17,16.11,3805.77
21,31.0558,121.2174,85.37,28.61,4938.25
22,31.4379,121.1317,90.06,5.36,5150.7
23,31.1492,121.3195,100.9,4.59,3051.99
24,31.3813,121.2697,117.86,15.91,6646.11
25,31.0097,121.4645,127.87,24.95,3451.01
26,31.1538,121.029,127.8,28.41,13292.57
27,31.0346,121.3803,116.58,3.85,3291.07
28,31.2376,121.2749,66.51,26.17,2859.19
29,31.2696,121.365,60.12,9.35,1778.64
30,31.4976,121.3249,83.81,15.53,6232.79
31,31.169,121.2942,63.01,6.61,2316.48
32,31.0355,121.3156,62.89,27.16,2306.39
33,31.119,121.3345,61.42,3.97,1691.27
34,31.4678,121.2855,87.27,23.54,5744.09
35,31.0485,121.2155,82.36,14.01,4849.78
36,31.3645,121.3367,138.42,2.95,6911.2
37,31.4308,121.1243,59.02,13.46,3395.55
38,31.2109,121.1393,64.98,27.7,5123.73
39,31.2752,121.0253,139.93,25.08,13057.68
40,31.4845,121.4632,124.87,4.99,9999.0
41,31.2005,121.0293,77.9,29.56,7927.58
42,31.1326,121.392,85.5,12.69,1389.06
43,31.2779,121.3592,55.48,8.9,1754.46
44,31.4844,121.2896,94.22,22.44,6440.02
45,31.2514,121.4264,55.74,28.82,1037.21
46,31.0401,121.0929,99.5,20.26,8448.56
47,31.4451,121.1231,99.45,18.58,5488.66
48,31.2096,121.2918,92.28,28.04,3472.75
49,31.1193,121.1979,107.17,9.0,6900.15
50,31.1581,121.3759,47.25,13.75,861.56
51,31.0366,121.1066,66.52,28.0,5403.92
52,31.4404,121.4396,76.95,4.73,5192.33
