grid,sample_n,avg_price
313_1210,17,6540.71
314_1210,17,4306.45
311_1212,18,3776.45
314_1213,22,5923.45
310_1210,15,9091.59
310_1211,11,6841.03
311_1211,20,6540.8
310_1213,20,2817.56
311_1210,18,8895.88
311_1214,17,1009.29
314_1212,28,5842.51
312_1211,26,7059.32
310_1212,24,4053.42
314_1211,25,5495.45
311_1213,24,2087.66
313_1212,22,4654.63
310_1214,14,2200.53
312_1212,25,4311.66
312_1213,31,2466.18
313_1213,17,4538.4
312_1210,16,6897.7
314_1214,20,6375.39
312_1214,16,1633.51
313_1214,17,3406.26
313_1211,19,5569.41
315_1211,1,5666.15
